MSOA21CD,IMD Decile
E02001767,2
E02001768,2
E02001769,1
E02001770,5
E02001771,4
E02001772,4
E02001773,8
E02001774,1
E02001775,3
E02001776,3
E02001777,5
E02001778,2
E02001779,2
E02001780,3
E02001781,2
E02001782,4
E02001783,2
E02001784,3
E02001785,4
E02001786,4
E02001787,4
E02001788,4
E02001789,10
E02001790,7
E02001791,9
E02001792,7
E02001793,1
E02001794,1
E02001795,1
E02001796,3
E02001797,6
E02001798,2
E02001799,1
E02001800,4
E02001801,2
E02001802,2
E02001803,2
E02001804,2
E02001805,4
E02001806,1
E02001807,6
E02001808,3
E02001809,4
E02001810,6
E02001811,2
E02001812,8
E02001813,1
E02001814,3
E02001815,6
E02001816,2
E02001817,3
E02001818,4
E02001819,8
E02001820,6
E02001821,6
E02001822,4
E02001823,3
E02001824,3
E02001825,3
E02001826,3
E02001827,8
E02001828,8
E02001829,10
E02001830,7
E02001831,4
E02001832,9
E02001833,7
E02001834,3
E02001835,7
E02001836,8
E02001837,1
E02001838,9
E02001839,4
E02001840,1
E02001841,9
E02001842,5
E02001843,4
E02001844,5
E02001845,5
E02001846,2
E02001847,7
E02001848,2
E02001849,1
E02001850,3
E02001851,3
E02001852,2
E02001855,1
E02001856,2
E02001857,1
E02001858,2
E02001859,1
E02001860,1
E02001861,1
E02001862,1
E02001863,1
E02001865,1
E02001866,1
E02001867,1
E02001868,3
E02001869,1
E02001870,1
E02001871,1
E02001872,2
E02001873,1
E02001874,1
E02001875,3
E02001876,2
E02001877,1
E02001878,1
E02001879,1
E02001880,1
E02001881,1
E02001882,2
E02001883,1
E02001884,1
E02001886,3
E02001888,2
E02001889,1
E02001890,5
E02001892,1
E02001893,3
E02001895,2
E02001896,1
E02001897,1
E02001898,5
E02001899,8
E02001900,4
E02001901,7
E02001902,3
E02001903,1
E02001904,1
E02001905,9
E02001906,5
E02001907,4
E02001908,1
E02001909,1
E02001910,1
E02001911,2
E02001913,4
E02001914,4
E02001915,2
E02001916,2
E02001918,3
E02001919,4
E02001920,2
E02001921,3
E02001922,6
E02001923,3
E02001924,3
E02001925,5
E02001926,5
E02001927,2
E02001928,3
E02001929,1
E02001930,4
E02001931,5
E02001932,2
E02001933,3
E02001934,5
E02001935,5
E02001936,8
E02001937,2
E02001938,5
E02001939,4
E02001941,2
E02001942,5
E02001943,3
E02001944,5
E02001945,1
E02001946,5
E02001947,1
E02001948,4
E02001949,4
E02001950,4
E02001951,2
E02001952,1
E02001953,6
E02001954,1
E02001955,3
E02001956,4
E02001957,5
E02001958,3
E02001959,4
E02001961,2
E02001962,2
E02001963,5
E02001964,1
E02001965,5
E02001966,1
E02001967,8
E02001968,3
E02001969,3
E02001970,5
E02001971,6
E02001972,2
E02001973,2
E02001974,7
E02001975,6
E02001976,4
E02001977,2
E02001978,4
E02001979,8
E02001980,9
E02001981,2
E02001982,7
E02001983,6
E02001984,5
E02001985,2
E02001986,2
E02001987,3
E02001988,3
E02001989,6
E02001990,8
E02001991,8
E02001992,2
E02001993,5
E02001994,5
E02001995,5
E02001996,1
E02001997,8
E02001998,9
E02001999,8
E02002000,3
E02002001,4
E02002002,9
E02002003,5
E02002004,3
E02002005,2
E02002006,4
E02002007,6
E02002008,8
E02002009,2
E02002010,1
E02002011,9
E02002012,2
E02002013,8
E02002014,2
E02002015,6
E02002016,2
E02002017,2
E02002018,8
E02002019,2
E02002020,7
E02002021,2
E02002022,4
E02002023,8
E02002024,4
E02002025,3
E02002026,7
E02002027,10
E02002028,7
E02002029,8
E02002030,5
E02002031,3
E02002032,4
E02002033,6
E02002034,4
E02002035,9
E02002036,2
E02002037,7
E02002038,5
E02002039,8
E02002040,9
E02002041,8
E02002042,9
E02002043,2
E02002044,3
E02002045,3
E02002046,1
E02002047,2
E02002048,6
E02002049,4
E02002051,1
E02002052,2
E02002053,5
E02002054,5
E02002055,3
E02002056,2
E02002057,2
E02002058,4
E02002059,3
E02002060,2
E02002061,1
E02002062,2
E02002063,3
E02002064,4
E02002065,2
E02002066,1
E02002067,5
E02002069,3
E02002070,1
E02002071,2
E02002072,3
E02002073,2
E02002074,3
E02002075,3
E02002076,4
E02002077,3
E02002078,6
